challange
"(1768498130908926221227744701046022078346595011466597335927777904001619311446319153524055295479734420651151222131982, 3977125998563449763456468413859180827645777746218661378674646040666409182404253623383522461644271182621886939377857)"
"(582988543558375800712956984062199403708640614450430584958307257437052397897911483961514310811325804538714504798805, 3281384821308555934029218673564799760120343191893857034512852850075516354376617577250521780100957914420324160301314)"
"(289581798154167393574714315969692551102701517341734890836512999293636683715200561235292214488501796892442032402522, 1234687058078875831776601600249668459114427057822833781352400014262380988396171496747835327187869625397728037798752)"
"(1758248605459858631650082713617977963633942627009042022731026320254096116460834358024257154761316507004780061293057, 2431142084992325616968225267076446245122105806910073541138982419754253486532883486747947167035017867642121427454448)"
"(1741872238869164581694783372119908807475030515671804226972733020484663911315177993519249381983875806246108211250516, 1349478072062345393982118557059172113897876834509444384132723238140224713116949512630038442403866705458380583377259)"
"(3911074583708258078070168505565304477418471684828544527055734098465923179889442874556033114156157441552122566241123, 2484755745704483699345168993386649743037374765297438398266299999562612327970354483224227784394512041512006389067919)"
"(711558677648248301304843167477513528075920372346698258366743751216008863609265114274280567964074825957237506709901, 3011162784537485762951688891267019219331996003094130902348289218766004255329200420186986719003172993028288438788719)"
"(1294055675260466080643358804930275905557584252209880902453687224982989047906342748217771299349899754775143398819191, 2573325828325237554265838333600898868110571379570030669410314173662299195323540294537641667977865980947795350064456)"
"(3529980651531732096771157830774739234796100852536113916852061086468144260900861150901257625927280185062221287730714, 2621399211630872721887740516180968217084054925148075664830171238170719652171198900072058915040768887363984581927650)"
"(2796318212909262947376615786797102851660278647511583605950797224524473185003342054961007865498786557806303315194654, 452363772434108078989861140517515856613605292587590724665353545972387245013605695106255637291987699990523785607359)"
"(1492649502011699177429448914558022671398731054072833368665177662515395079886900605125101062144171416606320303311726, 3916719883342921525442123858285655988682964377797140971644579878352170648230551842120527990005314672657107116413860)"
"(794745517203871620024064013260134254523575589837137430774856598947894658210144833247197629687624552099373229279966, 1624472574793624290395569436870134155227266193289507025891749907586847084226819184336203106510553324337441410401197)"
"(1943536582098002497150588858827552395598050655733176966188578183073904809469855845323088107891853283878458906631550, 657092071817826546717563674211697793094936099971245160648194181980231065984400177991456457558613512817057974960888)"
"(1530316976344433260090916057354180074293021310154991719959346776622867010658476052145876572503875800879048872535742, 3387803498806177949711385449152951255275817625660373301087890426392696154935525042220527249403137566585655939359199)"
"(314017698240442619928195465613999367903836179334406650485871931137111392448638853709852000871414992434430806444658, 1091409313850216518751170438731566178998232544917960828251113065257430849110677457105409054265719527405803172286948)"
"(3732949618739340810070107937368480481944514697396892888657281867512269189570410116345810119232445013047483241694646, 196759871824087000341882024269414487223621744257693968668813750535096147293876177623403624612834014448605789616662)"
"(3897242770874078739739173937696146584584343344489467871572091309310128408592747933296374877333746428370783003582096, 3626753579834553331207326475872944014475048513158524786187823172202039804782439303793203469575536474233983311525581)"
"(2464649163118228066019036205699760965677402464604406529925659279461655877828545444915210932737588419510874046510120, 1768083563999579739217030834471002763734398766333504825559378778887268329097937149862919066051058294738059969462179)"
"(2874625866139953319710760461028151339994236915606612179311858781736584626485232456180980692825602775268158880810404, 3523536170293178507003901205331684147321770568832920504360633180638632426249107141182939145015152554292848634725100)"
"(2945484626107023111519777608875347122378329605961081218730330158084869216119891748089457395320250218597817785765293, 3907753990424730383059037041741196993706723135646939563357208864348215285100174136729987431115954581994129012508827)"
"(730494850092891037062673018955167226544179122732393391054942579931612138684532647057889315292404619295695019727937, 3792317615691421053272331288643785171237330344620742140472050209790942078346740466268904689750453496576428140972181)"
"(2970987896897686690108953293595631470883516537307955381070709421484081556636866570558629241365571828936980537091843, 1194271343829622387570298094756690099143005361276922944864573473291315322317908960873146518765003894981416994492192)"
"(2804273439423785721139448594698740420377420254454865656346077313621803661971685661910233390705516894019508636952201, 3337305965346691417699956805098239334315792293202676669809303225895793394364213070398341351645870425496787199489380)"
"(2156772452809136727523679553953412987701794584009560185108535454459726516766481410474593718308699605572347646068041, 3473644036558588241021369780473590113329130369549435952176270051960193591641505667712620109933300320419652313560429)"
"(2730124514072502445151664319183034085276069531529846993434634704603127773652760406901416725158247856219138802317965, 3921490628201563694878024288375248205977479909469211765192153442540510431748253106885452041899560553459946764232105)"
"(2251220389421473399921234597462558673336805884360891908048805754687472303977035933066957976274661192640673629816562, 1074882026632240418475542663284752817604737839225175060322880953765877122966998462949889543304103492476214763384027)"
"(1039621743028371103277096809636341718723698305571399125649804974938046213794984590674113018725348425951192253535289, 3063358787347946211093436466350121218366010920215369523060970027205123900613555398064030921647104139371747292259226)"
"(1969607948755800006772756519271249788858684989105564679928157748265428119386594275214980229614906431813480808387331, 3316056049499887536230290176002318149336719455898248475617820646793722823871572267880188173739999998293152833658338)"
"(1388651402491855637588200977637948351987086202173209288239129476734461783032540321765307687873354579913624172577905, 2265168394419114902991696528634985241370109201865944599208861709334188086259605734752119312282106996804664088464717)"
"(1422233933072918014195598836718210227501027016353514873520144145974565402037343274422008262086303759697445404853056, 1516673951498396270734841322068050816389940058160142397498724168441870313109675999438367730071815958116651852458022)"
"(2734354874362177242403905808412688546185220118089576968092593270125188806245704945206062677917839339208806091625752, 1889946048260628074781437404160338809532853606580844050128350176787161809849733421376337120112468341028795482098882)"
"(2091567285329299500009585784073971053220992889543031159169329375546630037002650815289283195843562620730657669077676, 1838805475145155856191191221734366868318364613168138302908991157387338539840875777603110096292289099085339274051496)"
"(2926231407704181603709313304440863833286074241239272144375254534973416249150895538337645967570064701336915924225970, 1577246963935296360017202407843969611712521677020802323059825135640362834939997042331132844837131290067862976697041)"
"(621529438534519749872727308247439866579732365156740753388299437143081915492684281474554387411912999211338021079036, 3266883565128968621283845648669135392514909844870604548601800698108411311615570194657190974349244543783317192530348)"
"(1566695607383690258094835280841948443281485576361968950870213419050958425814001106094228942898345096849047125422752, 2273610738711874198772439779634675045361971471213224873613262895536025633607496990635764733490897796094619803975328)"
"(896830327250053043210771173730987463393497613735391810603474549798066197000423342608133183957089191930833412755691, 1845241561718342997295101035547789606398366350037732056402191549429884742128439635920502162359959782056465464680485)"
"(1408472430306429470210750704406867488899090413095712489094384130692372073270383572745756171938394276659218941306764, 1721027385031633156243815656784349900746435520624331997971016357777507775056392958399211186804911258645848369615860)"
"(2896064777296512614826986552576047959730281402790040550227433552246309873988795674506738052882378701376393241608771, 940521659833009621638511548129412392054533399707170104907643480480266712716122633405262997612140712260798443108991)"
"(266989412655029440096280820949784670887458989447855494527379182706595820482440351430921952744677419613214819089539, 2434934391704035544627227986422530859092273293420282087299085789116819489905476833362063494166736284791232535899060)"
"(1614193562792543367426582093399566594702980956440598981065288601789703567948112129227641928357369100814127105960622, 3670790206126217386174212651083724486399557046667133311732412019551179558660733876977269839531983254334472265689877)"
"(1095294352421151079466622186038034018789762339676185828320825822009226859844854323487168138404771292642368225255339, 1491853494900931659163442160443704150324705609570822045744270996176698797084952771633925616693246768202144562038942)"
"(3339069036055938825974616332362347079173992929999467425376625781551934080054320789365562065406988943798196294568490, 3805471565041406907916597521966536940066590796497607019360320302213718813597405428652735266265453991814571641157176)"
"(559714632633175319348232426662976470808412524359342993873275091469810867391062403257543972290234545685449698510112, 3440352017896425381197674046043580565230062931991701247636204309911327876781410948400597637225312390309753679321437)"
